Group 1,ANDY FOX,30.42
,ANDY HAAS,30.96
,EDDIE GODFREY,30.42
,EVAN GOSSETT,30.6
,PAUL LUNA,30.78
,PAUL TAYLOE,28.62
,RYAN MCCOOK,29.52
,SEAN GERVAIS,29.16
Group 2,ADAM HARRIS,28.8
,CHRIS BREWER,30.06
,CHRIS WENGLER,29.34
,CONNOR FRANTA,29.16
,JADE MCGILLEM,28.62
,MARK GOMEZ,29.16
,MICHAEL JOHNSTON,28.26
,STEVE BEATTIE,28.62
Group 3,BRANDON EBY,27.54
,CHRIS JUSZCZYK,28.62
,GARY SHELDON,28.62
,GORDY BROWN,27.54
,JASON ELLIOTT,27
,MATT VANHOOSIER,28.08
,NICK WALSH,28.8
,STEVE PUFF,27.9
Group 4,AIDAN CLEARY,27.36
,BLAKE BOYETT,27.9
,JAMES DUGGAN,28.62
,JORDAN COOK,27
,KEN CALUS,27.54
,RODNEY ROBERTS,26.82
,STEVE SOBE,25.56
,TODD CLARKE,27.36
Group 5,BEN VANIA,27.72
,CASEY BROCK,27.36
,DUSTIN ANDERSON,27.18
,JASON LOSCHIAVO,27.54
,JOEY DEANGELO,27.54
,MICHAEL PERES,27.72
,RANDY CRITCHLOW,26.1
,TRAVIS PARNELL,28.08
Group 6,AARON GOOD,27.36
,CHARLIE HALL,27.36
,JEREMY OLSON TN,26.46
,LUKE SPONSELLER,27
,MIKE GRAY,27.36
,PAUL SAME,27.36
,SAMUEL MANAWAY,27.54
,SCOTT NUSSMEYER,27.54
Group 7,DAVID CRAWFORD,27
,DAVID GELLER,26.82
,DUANE TACKETT,26.82
,DUTCH HUEBNER,27
,MATT MILLER (MO),27
,MORGAN PATCHELL,26.82
,RYAN WELLS,27.18
,SCOTT JOHNSON,27
Group 8,CRAIG FRANTA,26.28
,DAVID HONEYCUTT,25.92
,DWIGHT BRACE,27
,DYLAN LUX,25.92
,JON ODONNELL,26.82
,MARK BRIDGES,26.28
,MIKE KENNEY,26.64
,TIM JUHAS,26.46
