Group 1,ANDY FOX,29.52
,ANDY HAAS,30.42
,EDDIE GODFREY,29.88
,EVAN GOSSETT,30.24
,JOE MASSARA,30.5
,PAUL LUNA,30.6
,PAUL TAYLOE,28.98
,SEAN GERVAIS,28.98
Group 2,ALLAN ZERULL,33.8
,BRIAN BERNHARDT,28.62
,CHRIS WENGLER,30.78
,CONNOR FRANTA,30.96
,JADE MCGILLEM,29.34
,JEFF HARLOW,28.98
,JUSTIN SEELEY,28.8
,ROBERT WASHBURN,27.9
Group 3,ADRIAN WESTERGREN,27.9
,CHISOLM WOODSON,28.98
,CHRIS JUSZCZYK,28.62
,GARY SHELDON,31.14
,GAVIN HERRIN,29.34
,JASON WIKSTROM,29.34
,NATE STOWELL,27.9
,SOLOMON FRANCO,27.72
Group 4,AIDAN CLEARY,27
,DAMIEN SULLIVAN,29.34
,GORDY BROWN,27.9
,LODELL PARKS,28.8
,MATT VANHOOSIER,27.36
,RYAN SPARKS,28.08
,SHAWN TICKNOR,27.54
,TODD CLARKE,27
Group 5,DERRICK TRUMBLY,27.72
,JASON ELLIOTT,26.28
,JEREMY MEES,27.54
,MATT KAVANAUGH,27.9
,MIKE HALL,28.08
,MIKE GREEN-WALSH,28.62
,NICK WALSH,28.8
,SCOTT NUSSMEYER,27.9
Group 6,BEN VANIA,27.9
,BILL KEESEE,27.9
,BRAD REYNOLDS,26.46
,CRAIG FRANTA,27.54
,CRAIG SANDER,27.18
,DAVID KEY,27
,JOEY DEANGELO,26.46
,TRAVIS PARNELL,27.18
Group 7,COREY CANDA,27.18
,DAVID HONEYCUTT,26.46
,DWIGHT BRACE,27.36
,JEFF LEEPER,26.64
,KEITH BENNETT,27
,MATT MILLER (MO),28.44
,RANDY CRITCHLOW,27
,TREVOR ROBERTS,26.46
Group 8,BEN RESSEL,24.84
,DYLAN LUX,26.82
,MARK BRIDGES,27
,MIKE BETLEY,26.82
,MIKE KENNEY,27
,RYAN DRISKILL,25.92
,SCOTT JOHNSON,26.28
,SHON ANDERSON,26.64
